Horodate;Valeur
2017-10-10T05:30:00+02:00;64
2017-10-10T06:00:00+02:00;132
2017-10-10T06:30:00+02:00;128
2017-10-10T07:00:00+02:00;164
2017-10-10T07:30:00+02:00;6
2017-10-10T08:00:00+02:00;20
2017-10-10T08:30:00+02:00;66
2017-10-10T09:00:00+02:00;20
2017-10-10T09:30:00+02:00;6
2017-10-10T10:00:00+02:00;20
2017-10-10T10:30:00+02:00;20
2017-10-10T11:00:00+02:00;20
2017-10-10T11:30:00+02:00;18
2017-10-10T12:00:00+02:00;12
2017-10-10T12:30:00+02:00;20
2017-10-10T13:00:00+02:00;20
2017-10-10T13:30:00+02:00;82
2017-10-10T14:00:00+02:00;38
2017-10-10T14:30:00+02:00;628
2017-10-10T15:00:00+02:00;1884
2017-10-10T15:30:00+02:00;1882
2017-10-10T16:00:00+02:00;1020
2017-10-10T16:30:00+02:00;344
2017-10-10T17:00:00+02:00;20
2017-10-10T17:30:00+02:00;20
2017-10-10T18:00:00+02:00;20
2017-10-10T18:30:00+02:00;10
2017-10-10T19:00:00+02:00;16
2017-10-10T19:30:00+02:00;20
2017-10-10T20:00:00+02:00;28
2017-10-10T20:30:00+02:00;66
2017-10-10T21:00:00+02:00;48
2017-10-10T21:30:00+02:00;18
2017-10-10T22:00:00+02:00;20
2017-10-10T22:30:00+02:00;20
2017-10-10T23:00:00+02:00;16
2017-10-10T23:30:00+02:00;26
2017-10-11T00:00:00+02:00;158
2017-10-11T00:30:00+02:00;94
2017-10-11T01:00:00+02:00;54
2017-10-11T01:30:00+02:00;542
2017-10-11T02:00:00+02:00;712
2017-10-11T02:30:00+02:00;314
2017-10-11T03:00:00+02:00;256
2017-10-11T03:30:00+02:00;166
2017-10-11T04:00:00+02:00;240
2017-10-11T04:30:00+02:00;322
2017-10-11T05:00:00+02:00;20
2017-10-11T05:30:00+02:00;118
2017-10-11T06:00:00+02:00;122
2017-10-11T06:30:00+02:00;190
2017-10-11T07:00:00+02:00;20
2017-10-11T07:30:00+02:00;218
2017-10-11T08:00:00+02:00;20
2017-10-11T08:30:00+02:00;56
2017-10-11T09:00:00+02:00;52
2017-10-11T09:30:00+02:00;20
2017-10-11T10:00:00+02:00;20
2017-10-11T10:30:00+02:00;18
2017-10-11T11:00:00+02:00;10
2017-10-11T11:30:00+02:00;16
2017-10-11T12:00:00+02:00;20
2017-10-11T12:30:00+02:00;24
2017-10-11T13:00:00+02:00;52
2017-10-11T13:30:00+02:00;46
2017-10-11T14:00:00+02:00;154
2017-10-11T14:30:00+02:00;668
2017-10-11T15:00:00+02:00;1888
2017-10-11T15:30:00+02:00;1896
2017-10-11T16:00:00+02:00;1642
2017-10-11T16:30:00+02:00;524
2017-10-11T17:00:00+02:00;54
2017-10-11T17:30:00+02:00;52
2017-10-11T18:00:00+02:00;6
2017-10-11T18:30:00+02:00;44
2017-10-11T19:00:00+02:00;32
2017-10-11T19:30:00+02:00;740
2017-10-11T20:00:00+02:00;656
2017-10-11T20:30:00+02:00;340
2017-10-11T21:00:00+02:00;448
2017-10-11T21:30:00+02:00;366
2017-10-11T22:00:00+02:00;92
2017-10-11T22:30:00+02:00;10
2017-10-11T23:00:00+02:00;24
2017-10-11T23:30:00+02:00;66
2017-10-12T00:00:00+02:00;92
2017-10-12T00:30:00+02:00;106
2017-10-12T01:00:00+02:00;84
2017-10-12T01:30:00+02:00;702
2017-10-12T02:00:00+02:00;1538
2017-10-12T02:30:00+02:00;810
2017-10-12T03:00:00+02:00;402
2017-10-12T03:30:00+02:00;344
2017-10-12T04:00:00+02:00;118
2017-10-12T04:30:00+02:00;118
2017-10-12T05:00:00+02:00;148
2017-10-12T05:30:00+02:00;150
2017-10-12T06:00:00+02:00;128
2017-10-12T06:30:00+02:00;120
2017-10-12T07:00:00+02:00;124
2017-10-12T07:30:00+02:00;124
2017-10-12T08:00:00+02:00;44
2017-10-12T08:30:00+02:00;94
2017-10-12T09:00:00+02:00;22
2017-10-12T09:30:00+02:00;8
2017-10-12T10:00:00+02:00;22
2017-10-12T10:30:00+02:00;74
2017-10-12T11:00:00+02:00;102
2017-10-12T11:30:00+02:00;26
2017-10-12T12:00:00+02:00;22
2017-10-12T12:30:00+02:00;10
2017-10-12T13:00:00+02:00;26
2017-10-12T13:30:00+02:00;6
2017-10-12T14:00:00+02:00;26
2017-10-12T14:30:00+02:00;640
2017-10-12T15:00:00+02:00;1878
2017-10-12T15:30:00+02:00;1592
2017-10-12T16:00:00+02:00;812
2017-10-12T16:30:00+02:00;232
2017-10-12T17:00:00+02:00;24
2017-10-12T17:30:00+02:00;6
2017-10-12T18:00:00+02:00;24
2017-10-12T18:30:00+02:00;24
2017-10-12T19:00:00+02:00;152
2017-10-12T19:30:00+02:00;450
2017-10-12T20:00:00+02:00;248
2017-10-12T20:30:00+02:00;410
2017-10-12T21:00:00+02:00;888
2017-10-12T21:30:00+02:00;262
2017-10-12T22:00:00+02:00;240
2017-10-12T22:30:00+02:00;302
2017-10-12T23:00:00+02:00;196
2017-10-12T23:30:00+02:00;66
2017-10-13T00:00:00+02:00;60
2017-10-13T00:30:00+02:00;36
2017-10-13T01:00:00+02:00;24
2017-10-13T01:30:00+02:00;650
2017-10-13T02:00:00+02:00;996
2017-10-13T02:30:00+02:00;428
2017-10-13T03:00:00+02:00;268
2017-10-13T03:30:00+02:00;190
2017-10-13T04:00:00+02:00;290
2017-10-13T04:30:00+02:00;166
2017-10-13T05:00:00+02:00;114
2017-10-13T05:30:00+02:00;110
2017-10-13T06:00:00+02:00;128
2017-10-13T06:30:00+02:00;114
2017-10-13T07:00:00+02:00;120
2017-10-13T07:30:00+02:00;130
2017-10-13T08:00:00+02:00;52
2017-10-13T08:30:00+02:00;442
2017-10-13T09:00:00+02:00;228
2017-10-13T09:30:00+02:00;216
2017-10-13T10:00:00+02:00;216
2017-10-13T10:30:00+02:00;222
2017-10-13T11:00:00+02:00;220
2017-10-13T11:30:00+02:00;204
2017-10-13T12:00:00+02:00;222
2017-10-13T12:30:00+02:00;220
2017-10-13T13:00:00+02:00;206
2017-10-13T13:30:00+02:00;224
2017-10-13T14:00:00+02:00;222
2017-10-13T14:30:00+02:00;832
2017-10-13T15:00:00+02:00;1930
2017-10-13T15:30:00+02:00;874
2017-10-13T16:00:00+02:00;570
2017-10-13T16:30:00+02:00;1292
2017-10-13T17:00:00+02:00;44
2017-10-13T17:30:00+02:00;14
2017-10-13T18:00:00+02:00;24
2017-10-13T18:30:00+02:00;20
2017-10-13T19:00:00+02:00;12
2017-10-13T19:30:00+02:00;26
2017-10-13T20:00:00+02:00;16
2017-10-13T20:30:00+02:00;14
2017-10-13T21:00:00+02:00;26
2017-10-13T21:30:00+02:00;16
2017-10-13T22:00:00+02:00;14
2017-10-13T22:30:00+02:00;26
2017-10-13T23:00:00+02:00;12
2017-10-13T23:30:00+02:00;18
2017-10-14T00:00:00+02:00;58
2017-10-14T00:30:00+02:00;22
2017-10-14T01:00:00+02:00;32
2017-10-14T01:30:00+02:00;650
2017-10-14T02:00:00+02:00;818
2017-10-14T02:30:00+02:00;444
2017-10-14T03:00:00+02:00;298
2017-10-14T03:30:00+02:00;208
2017-10-14T04:00:00+02:00;180
2017-10-14T04:30:00+02:00;116
2017-10-14T05:00:00+02:00;108
2017-10-14T05:30:00+02:00;118
2017-10-14T06:00:00+02:00;146
2017-10-14T06:30:00+02:00;98
2017-10-14T07:00:00+02:00;292
2017-10-14T07:30:00+02:00;20
2017-10-14T08:00:00+02:00;14
2017-10-14T08:30:00+02:00;24
2017-10-14T09:00:00+02:00;10
2017-10-14T09:30:00+02:00;156
2017-10-14T10:00:00+02:00;30
2017-10-14T10:30:00+02:00;6
2017-10-14T11:00:00+02:00;48
2017-10-14T11:30:00+02:00;320
2017-10-14T12:00:00+02:00;68
2017-10-14T12:30:00+02:00;40
2017-10-14T13:00:00+02:00;680
2017-10-14T13:30:00+02:00;158
2017-10-14T14:00:00+02:00;50
2017-10-14T14:30:00+02:00;660
2017-10-14T15:00:00+02:00;1578
2017-10-14T15:30:00+02:00;904
2017-10-14T16:00:00+02:00;214
2017-10-14T16:30:00+02:00;162
2017-10-14T17:00:00+02:00;46
2017-10-14T17:30:00+02:00;30
2017-10-14T18:00:00+02:00;42
2017-10-14T18:30:00+02:00;44
2017-10-14T19:00:00+02:00;26
2017-10-14T19:30:00+02:00;44
2017-10-14T20:00:00+02:00;38
2017-10-14T20:30:00+02:00;32
2017-10-14T21:00:00+02:00;44
2017-10-14T21:30:00+02:00;70
2017-10-14T22:00:00+02:00;78
2017-10-14T22:30:00+02:00;50
2017-10-14T23:00:00+02:00;32
2017-10-14T23:30:00+02:00;44
2017-10-15T00:00:00+02:00;44
2017-10-15T00:30:00+02:00;26
2017-10-15T01:00:00+02:00;46
2017-10-15T01:30:00+02:00;412
2017-10-15T02:00:00+02:00;458
2017-10-15T02:30:00+02:00;298
2017-10-15T03:00:00+02:00;212
2017-10-15T03:30:00+02:00;136
2017-10-15T04:00:00+02:00;196
2017-10-15T04:30:00+02:00;142
2017-10-15T05:00:00+02:00;140
2017-10-15T05:30:00+02:00;180
2017-10-15T06:00:00+02:00;140
2017-10-15T06:30:00+02:00;200
2017-10-15T07:00:00+02:00;28
2017-10-15T07:30:00+02:00;136
2017-10-15T08:00:00+02:00;48
2017-10-15T08:30:00+02:00;26
2017-10-15T09:00:00+02:00;42
2017-10-15T09:30:00+02:00;30
2017-10-15T10:00:00+02:00;384
2017-10-15T10:30:00+02:00;214
2017-10-15T11:00:00+02:00;54
2017-10-15T11:30:00+02:00;50
2017-10-15T12:00:00+02:00;34
2017-10-15T12:30:00+02:00;42
2017-10-15T13:00:00+02:00;1678
2017-10-15T13:30:00+02:00;264
2017-10-15T14:00:00+02:00;1160
2017-10-15T14:30:00+02:00;658
2017-10-15T15:00:00+02:00;1228
2017-10-15T15:30:00+02:00;550
2017-10-15T16:00:00+02:00;1074
2017-10-15T16:30:00+02:00;372
2017-10-15T17:00:00+02:00;26
2017-10-15T17:30:00+02:00;48
2017-10-15T18:00:00+02:00;24
2017-10-15T18:30:00+02:00;50
2017-10-15T19:00:00+02:00;248
2017-10-15T19:30:00+02:00;874
2017-10-15T20:00:00+02:00;136
2017-10-15T20:30:00+02:00;268
2017-10-15T21:00:00+02:00;88
2017-10-15T21:30:00+02:00;60
2017-10-15T22:00:00+02:00;136
2017-10-15T22:30:00+02:00;70
2017-10-15T23:00:00+02:00;44
2017-10-15T23:30:00+02:00;50
2017-10-16T00:00:00+02:00;32
2017-10-16T00:30:00+02:00;48
2017-10-16T01:00:00+02:00;26
2017-10-16T01:30:00+02:00;664
2017-10-16T02:00:00+02:00;1316
2017-10-16T02:30:00+02:00;460
2017-10-16T03:00:00+02:00;258
2017-10-16T03:30:00+02:00;252
2017-10-16T04:00:00+02:00;154
2017-10-16T04:30:00+02:00;148
2017-10-16T05:00:00+02:00;48
2017-10-16T05:30:00+02:00;158
2017-10-16T06:00:00+02:00;194
2017-10-16T06:30:00+02:00;1628
2017-10-16T07:00:00+02:00;1564
2017-10-16T07:30:00+02:00;492
2017-10-16T08:00:00+02:00;28
2017-10-16T08:30:00+02:00;44
2017-10-16T09:00:00+02:00;26
2017-10-16T09:30:00+02:00;44
2017-10-16T10:00:00+02:00;44
2017-10-16T10:30:00+02:00;68
2017-10-16T11:00:00+02:00;44
2017-10-16T11:30:00+02:00;34
2017-10-16T12:00:00+02:00;36
2017-10-16T12:30:00+02:00;44
2017-10-16T13:00:00+02:00;26
2017-10-16T13:30:00+02:00;46
2017-10-16T14:00:00+02:00;34
2017-10-16T14:30:00+02:00;668
2017-10-16T15:00:00+02:00;1242
2017-10-16T15:30:00+02:00;442
2017-10-16T16:00:00+02:00;284
2017-10-16T16:30:00+02:00;628
2017-10-16T17:00:00+02:00;36
2017-10-16T17:30:00+02:00;44
2017-10-16T18:00:00+02:00;30
2017-10-16T18:30:00+02:00;40
2017-10-16T19:00:00+02:00;272
2017-10-16T19:30:00+02:00;570
2017-10-16T20:00:00+02:00;924
2017-10-16T20:30:00+02:00;62
2017-10-16T21:00:00+02:00;170
2017-10-16T21:30:00+02:00;58
2017-10-16T22:00:00+02:00;92
2017-10-16T22:30:00+02:00;114
2017-10-16T23:00:00+02:00;34
2017-10-16T23:30:00+02:00;66
2017-10-17T00:00:00+02:00;24
2017-10-17T00:30:00+02:00;26
2017-10-17T01:00:00+02:00;60
2017-10-17T01:30:00+02:00;654
2017-10-17T02:00:00+02:00;1924
2017-10-17T02:30:00+02:00;1176
2017-10-17T03:00:00+02:00;436
2017-10-17T03:30:00+02:00;272
2017-10-17T04:00:00+02:00;224
2017-10-17T04:30:00+02:00;168
2017-10-17T05:00:00+02:00;128
2017-10-17T05:30:00+02:00;80
2017-10-17T06:00:00+02:00;158
2017-10-17T06:30:00+02:00;140
2017-10-17T07:00:00+02:00;52
2017-10-17T07:30:00+02:00;120
2017-10-17T08:00:00+02:00;184
2017-10-17T08:30:00+02:00;70
2017-10-17T09:00:00+02:00;56
2017-10-17T09:30:00+02:00;26
2017-10-17T10:00:00+02:00;52
2017-10-17T10:30:00+02:00;76
2017-10-17T11:00:00+02:00;64
2017-10-17T11:30:00+02:00;26
2017-10-17T12:00:00+02:00;50
2017-10-17T12:30:00+02:00;28
2017-10-17T13:00:00+02:00;48
2017-10-17T13:30:00+02:00;26
2017-10-17T14:00:00+02:00;48
2017-10-17T14:30:00+02:00;642
2017-10-17T15:00:00+02:00;1680
2017-10-17T15:30:00+02:00;614
2017-10-17T16:00:00+02:00;1530
2017-10-17T16:30:00+02:00;1038
2017-10-17T17:00:00+02:00;52
2017-10-17T17:30:00+02:00;40
2017-10-17T18:00:00+02:00;42
2017-10-17T18:30:00+02:00;58
2017-10-17T19:00:00+02:00;32
2017-10-17T19:30:00+02:00;142
2017-10-17T20:00:00+02:00;876
2017-10-17T20:30:00+02:00;114
2017-10-17T21:00:00+02:00;128
2017-10-17T21:30:00+02:00;342
2017-10-17T22:00:00+02:00;98
2017-10-17T22:30:00+02:00;44
2017-10-17T23:00:00+02:00;42
2017-10-17T23:30:00+02:00;34
2017-10-18T00:00:00+02:00;56
2017-10-18T00:30:00+02:00;28
2017-10-18T01:00:00+02:00;52
2017-10-18T01:30:00+02:00;652
2017-10-18T02:00:00+02:00;1518
2017-10-18T02:30:00+02:00;600
2017-10-18T03:00:00+02:00;344
2017-10-18T03:30:00+02:00;290
2017-10-18T04:00:00+02:00;140
2017-10-18T04:30:00+02:00;50
2017-10-18T05:00:00+02:00;276
2017-10-18T05:30:00+02:00;346
2017-10-18T06:00:00+02:00;278
2017-10-18T06:30:00+02:00;156
2017-10-18T07:00:00+02:00;32
2017-10-18T07:30:00+02:00;226
2017-10-18T08:00:00+02:00;204
2017-10-18T08:30:00+02:00;56
2017-10-18T09:00:00+02:00;28
2017-10-18T09:30:00+02:00;50
2017-10-18T10:00:00+02:00;44
2017-10-18T10:30:00+02:00;30
2017-10-18T11:00:00+02:00;46
2017-10-18T11:30:00+02:00;28
2017-10-18T12:00:00+02:00;46
2017-10-18T12:30:00+02:00;28
2017-10-18T13:00:00+02:00;46
2017-10-18T13:30:00+02:00;46
2017-10-18T14:00:00+02:00;28
2017-10-18T14:30:00+02:00;672
2017-10-18T15:00:00+02:00;1646
2017-10-18T15:30:00+02:00;748
2017-10-18T16:00:00+02:00;478
2017-10-18T16:30:00+02:00;602
2017-10-18T17:00:00+02:00;26
2017-10-18T17:30:00+02:00;50
2017-10-18T18:00:00+02:00;40
2017-10-18T18:30:00+02:00;34
2017-10-18T19:00:00+02:00;50
2017-10-18T19:30:00+02:00;352
2017-10-18T20:00:00+02:00;332
2017-10-18T20:30:00+02:00;260
2017-10-18T21:00:00+02:00;238
2017-10-18T21:30:00+02:00;74
2017-10-18T22:00:00+02:00;138
2017-10-18T22:30:00+02:00;124
2017-10-18T23:00:00+02:00;122
2017-10-18T23:30:00+02:00;120
2017-10-19T00:00:00+02:00;80
2017-10-19T00:30:00+02:00;100
2017-10-19T01:00:00+02:00;70
2017-10-19T01:30:00+02:00;680
2017-10-19T02:00:00+02:00;1454
2017-10-19T02:30:00+02:00;716
2017-10-19T03:00:00+02:00;540
2017-10-19T03:30:00+02:00;152
2017-10-19T04:00:00+02:00;174
2017-10-19T04:30:00+02:00;34
2017-10-19T05:00:00+02:00;178
2017-10-19T05:30:00+02:00;168
2017-10-19T06:00:00+02:00;46
2017-10-19T06:30:00+02:00;204
2017-10-19T07:00:00+02:00;298
2017-10-19T07:30:00+02:00;76
2017-10-19T08:00:00+02:00;162
2017-10-19T08:30:00+02:00;332
2017-10-19T09:00:00+02:00;80
2017-10-19T09:30:00+02:00;28
2017-10-19T10:00:00+02:00;46
2017-10-19T10:30:00+02:00;26
2017-10-19T11:00:00+02:00;48
2017-10-19T11:30:00+02:00;34
2017-10-19T12:00:00+02:00;40
2017-10-19T12:30:00+02:00;34
2017-10-19T13:00:00+02:00;42
2017-10-19T13:30:00+02:00;48
2017-10-19T14:00:00+02:00;26
2017-10-19T14:30:00+02:00;666
2017-10-19T15:00:00+02:00;1826
2017-10-19T15:30:00+02:00;814
2017-10-19T16:00:00+02:00;514
2017-10-19T16:30:00+02:00;146
2017-10-19T17:00:00+02:00;48
2017-10-19T17:30:00+02:00;26
2017-10-19T18:00:00+02:00;48
2017-10-19T18:30:00+02:00;28
2017-10-19T19:00:00+02:00;48
2017-10-19T19:30:00+02:00;42
2017-10-19T20:00:00+02:00;32
2017-10-19T20:30:00+02:00;642
2017-10-19T21:00:00+02:00;1606
2017-10-19T21:30:00+02:00;196
2017-10-19T22:00:00+02:00;68
2017-10-19T22:30:00+02:00;68
2017-10-19T23:00:00+02:00;74
2017-10-19T23:30:00+02:00;58
2017-10-20T00:00:00+02:00;58
2017-10-20T00:30:00+02:00;44
2017-10-20T01:00:00+02:00;26
2017-10-20T01:30:00+02:00;654
2017-10-20T02:00:00+02:00;718
2017-10-20T02:30:00+02:00;366
2017-10-20T03:00:00+02:00;280
2017-10-20T03:30:00+02:00;172
2017-10-20T04:00:00+02:00;240
2017-10-20T04:30:00+02:00;158
2017-10-20T05:00:00+02:00;120
2017-10-20T05:30:00+02:00;150
2017-10-20T06:00:00+02:00;144
2017-10-20T06:30:00+02:00;150
2017-10-20T07:00:00+02:00;50
2017-10-20T07:30:00+02:00;128
2017-10-20T08:00:00+02:00;46
2017-10-20T08:30:00+02:00;80
2017-10-20T09:00:00+02:00;92
2017-10-20T09:30:00+02:00;40
2017-10-20T10:00:00+02:00;44
2017-10-20T10:30:00+02:00;34
2017-10-20T11:00:00+02:00;36
2017-10-20T11:30:00+02:00;44
2017-10-20T12:00:00+02:00;42
2017-10-20T12:30:00+02:00;34
2017-10-20T13:00:00+02:00;36
2017-10-20T13:30:00+02:00;42
2017-10-20T14:00:00+02:00;42
2017-10-20T14:30:00+02:00;656
2017-10-20T15:00:00+02:00;1660
2017-10-20T15:30:00+02:00;646
2017-10-20T16:00:00+02:00;374
2017-10-20T16:30:00+02:00;208
2017-10-20T17:00:00+02:00;26
2017-10-20T17:30:00+02:00;44
2017-10-20T18:00:00+02:00;44
2017-10-20T18:30:00+02:00;44
2017-10-20T19:00:00+02:00;36
2017-10-20T19:30:00+02:00;124
2017-10-20T20:00:00+02:00;638
2017-10-20T20:30:00+02:00;92
2017-10-20T21:00:00+02:00;86
2017-10-20T21:30:00+02:00;154
2017-10-20T22:00:00+02:00;94
2017-10-20T22:30:00+02:00;92
2017-10-20T23:00:00+02:00;82
2017-10-20T23:30:00+02:00;68
2017-10-21T00:00:00+02:00;66
2017-10-21T00:30:00+02:00;66
2017-10-21T01:00:00+02:00;88
2017-10-21T01:30:00+02:00;562
2017-10-21T02:00:00+02:00;666
2017-10-21T02:30:00+02:00;324
2017-10-21T03:00:00+02:00;384
2017-10-21T03:30:00+02:00;172
2017-10-21T04:00:00+02:00;222
2017-10-21T04:30:00+02:00;176
2017-10-21T05:00:00+02:00;152
2017-10-21T05:30:00+02:00;256
2017-10-21T06:00:00+02:00;190
2017-10-21T06:30:00+02:00;74
2017-10-21T07:00:00+02:00;158
2017-10-21T07:30:00+02:00;172
